sz.év.;Kategória;nem;1.nap összidõ;2.nap összidõ;3.nap összidõ;4.nap összidõ;eredmény;Megtett táv (km);befejezte;eredmény(perc);átlagos tempó (perc/km);sebesség kategória
1968.0;F4;F;0 days 05:48:15;;0 days 04:48:49;;0 days 10:37:04;92.0;False;637.0;6.923913043478261;közepesen lassú
1981.0;N2;N;0 days 05:12:20;0 days 06:54:52;;;0 days 12:07:12;101.0;False;727.0;7.198019801980198;lassú
1979.0;F2;F;0 days 05:31:57;0 days 06:36:16;0 days 05:35:21;;0 days 17:43:34;161.0;False;1063.0;6.60248447204969;közepesen lassú
1975.0;F3;F;0 days 05:53:03;;0 days 06:03:39;0 days 07:15:33;0 days 19:12:15;175.0;False;1152.0;6.582857142857143;közepesen lassú
1974.0;F3;F;0 days 04:11:08;0 days 04:44:07;0 days 03:59:47;;0 days 12:55:02;145.0;False;775.0;5.344827586206897;gyors
1995.0;N1;N;0 days 05:56:52;;0 days 05:51:06;;0 days 11:47:58;92.0;False;707.0;7.684782608695652;lassú
1970.0;F3;F;0 days 05:13:33;0 days 06:01:13;;;0 days 11:14:46;101.0;False;674.0;6.673267326732673;közepesen lassú
1974.0;F3;F;0 days 04:53:00;0 days 06:23:11;;;0 days 11:16:11;131.0;False;676.0;5.1603053435114505;gyors
1979.0;N2;N;0 days 04:20:10;;0 days 04:14:22;0 days 04:53:58;0 days 13:28:30;175.0;False;808.0;4.617142857142857;gyors
1968.0;F4;F;0 days 05:06:24;0 days 06:17:16;0 days 05:06:50;;0 days 16:30:30;161.0;False;990.0;6.149068322981367;közepes
1999.0;F1;F;0 days 06:03:41;0 days 07:07:30;;;0 days 13:11:11;129.0;False;791.0;6.131782945736434;közepes
1979.0;N2;N;0 days 04:19:19;0 days 05:09:41;;0 days 05:25:49;0 days 14:54:49;152.0;False;894.0;5.881578947368421;közepesen gyors
1971.0;F3;F;0 days 05:11:31;0 days 06:19:31;;;0 days 11:31:02;101.0;False;691.0;6.841584158415841;közepesen lassú
1980.0;F2;F;0 days 03:09:22;0 days 03:40:40;0 days 03:03:18;0 days 03:38:23;0 days 13:31:43;196.0;True;811.0;4.137755102040816;gyors
1988.0;F1;F;0 days 03:24:24;0 days 03:54:12;0 days 03:03:48;0 days 03:37:18;0 days 13:59:42;196.0;True;839.0;4.280612244897959;gyors
1977.0;F3;F;0 days 03:19:01;0 days 03:56:44;0 days 03:10:29;0 days 04:00:21;0 days 14:26:35;196.0;True;866.0;4.418367346938775;gyors
